Rank,Company,Sector,Location,Launch Year,Total Funding (€M),2-yr Revenue CAGR (%),Employees,FYs,Profitable
1,FINN,Consumer - Mobility,Munich,2019,1250.0,697.05,300,2021-23,Yes
2,Orbem,Deeptech - Foodtech,Munich,2019,40.5,650.97,54,2021-23,No
3,charles,B2B SaaS - Digital Marketing,Berlin,2019,27.4,506.38,86,2021-23,PND
4,Tourlane,Consumer - Travel,Berlin,2016,90.0,447.72,439,2021-23,No
5,n8n,B2B SaaS - Dev Tools,Berlin,2019,20.0,378.0,37,2021-23,PND
6,anybill,B2B SaaS - Retail,Munich,2019,5.0,328.17,25,2021-23,PND
7,Aily Labs,B2B SaaS - Business Intelligence,Munich,2020,19.0,316.33,200,2021-23,Yes
8,Likeminded,Healthtech - Mental Health,Berlin,2020,10.9,258.71,30,2021-23,PND
9,The Exploration Company,Deeptech - Spacetech,Munich,2021,65.0,254.65,63,2021-23,No
10,akirolabs,B2B SaaS - Supply Chain & Logistics,Berlin,2021,5.6,237.69,20,2021-23,PND
11,shipzero,Climate - Supply Chain & Logistics,Hamburg,2018,10.0,216.23,22,2021-23,PND
12,Vytal,Climate - Circular Economy,Cologne,2020,18.0,213.45,70,2021-23,No
13,Yepoda,Consumer - Beauty,Berlin,2019,7.0,191.08,38,2021-23,Yes
14,Enpal,Climate - Solar Energy,Berlin,2017,3600.0,186.04,3000,2021-23,Yes
15,Finanzguru,Fintech - Wealthtech,Frankfurt,2015,27.0,168.67,82,2021-23,PND
16,vivenu,B2B SaaS - Events,Düsseldorf,2018,60.0,150.0,75,2021-23,PND
17,mybacs Vertriebs,Consumer - Wellbeing,Munich,2018,7.0,146.65,15,2021-23,No
18,heyData,B2B SaaS - Regtech,Berlin,2019,3.3,144.9,41,2021-23,No
19,Kraftblock,Climate - Energy Storage,Sulzbach,2014,27.3,141.75,32,2021-23,PND
20,Circula,Fintech - CFO Tech Stack,Berlin,2017,20.9,140.48,113,2021-23,No
21,embedded ocean,B2B SaaS - Industrial Automation,Munich,2020,3.2,129.97,12,2021-23,No
22,Airteam Aerial Intelligence,B2B SaaS - Construction Tech,Berlin,2018,4.8,124.69,24,2021-23,PND
23,Blackwave,Deeptech - Advanced Materials,Taufkirchen,2016,16.0,119.61,64,2021-23,PND
24,Everphone,B2B SaaS - Electronics,Berlin,2016,580.0,113.8,178,2021-23,PND
25,Hawk,B2B SaaS - Financial Crime,Munich,2018,36.0,105.74,58,2021-23,No
26,bezahl,Fintech - Payments,Cologne,2018,38.0,102.96,98,2021-23,PND
27,SoSafe,B2B SaaS - Edtech,Cologne,2019,70.0,101.74,352,2021-23,PND
28,Unchained Robotics,Deeptech - Robotics,Paderborn,2018,7.7,97.45,22,2021-23,No
29,Instagrid,Climate - Energy Storage,Ludwigsburg,2019,122.5,94.74,102,2021-23,PND
30,Hopkins,B2B SaaS - Legaltech,Berlin,2019,3.5,94.62,15,2021-23,Yes
31,vly,Consumer - Foodtech,Berlin,2020,8.0,94.2,25,2021-23,PND
32,ACCURE Battery Intelligence,Climate - Energy Storage,Aachen,2018,16.5,86.19,49,2021-23,PND
33,SECJUR,B2B SaaS - Regtech,Hamburg,2019,5.5,84.8,44,2021-23,PND
34,Avomind,B2B SaaS - HR Tech,Berlin,2018,0.0,79.58,14,2021-23,PND
35,Timeless Investments,Fintech - Wealthtech,Berlin,2020,30.0,76.27,35,2021-23,No
36,Kittl,B2B SaaS - Creative Tools,Berlin,2019,50.0,76.21,48,2021-23,Yes
37,Dogo App,Consumer - Pet Tech,Berlin,2019,4.1,74.65,17,2021-23,PND
38,spotixx,Fintech - Financial Crime,Frankfurt,2018,0.0,73.21,25,2021-23,No
39,osapiens,B2B SaaS - ESG Tech,Mannheim,2017,135.0,72.4,200,2021-23,PND
40,Partex NV,Healthtech - Drug Discovery,Eschborn,2018,92.9,67.77,300,2021-23,No
41,ProNoblis,Fintech - Digital Lending,Berlin,2020,2.3,66.4,14,2021-23,Yes
42,HERO Software,B2B SaaS - Construction Tech,Hanover,2014,48.0,57.27,98,2021-23,PND
43,Staffbase,B2B SaaS - HR Tech,Chemnitz,2014,180.0,56.35,800,2021-23,No
44,seventhings,B2B SaaS - Proptech,Dresden,2018,3.7,49.16,31,2021-23,PND
45,Lendis,B2B SaaS - Circular Economy,Berlin,2021,50.0,41.42,50,2021-23,PND
46,Prestatech,Fintech - Digital Lending,Berlin,2017,8.0,41.42,30,2021-23,PND
47,Workerbase,B2B SaaS - Industrial Automation,Munich,2014,12.5,40.04,25,2021-23,PND
48,KoRo,Consumer - Foodtech,Berlin,2016,81.0,38.06,285,2021-23,Yes
49,PAIR Finance,Fintech - Digital Lending,Hamburg,2018,8.3,35.32,250,2021-23,PND
50,Localyze,B2B SaaS - HR Tech,Berlin,2018,47.1,32.86,90,2021-23,No
